UNK	Unknown
CapeVer	Cape Verde
Comoros	Comoros
Germany	Fed. Rep. of Germany
Philpns	Philippines
Eritrea	Eritrea
Palestine	Palestine
N.Cook	North Cook Islands
S.Cook	South Cook Islands
Niue	Niue
BosnHerz	Bosnia-Herzegovina
Spain	Spain
Balearic	Balearic Islands
Canary	Canary Islands
Ceuta&Mel	Ceuta & Melilla
Ireland	Ireland
Armenia	Armenia
Liberia	Liberia
Iran	Iran
Moldova	Moldova
Estonia	Estonia
Ethiopia	Ethiopia
Belarus	Belarus
Kyrgyz	Kyrgyzstan
Tajikstn	Tajikistan
Turkmen	Turkmenistan
France	France
Guadelpe	Guadeloupe
Mayotte	Mayotte
SBart	St. Barthelemy
NewCaled	New Caledonia
Chesterf	Chesterfield Islands
Martnque	Martinique
FrPolyn	French Polynesia
Austral	Austral Islands
Clipptn	Clipperton Island
Marquesa	Marquesas Islands
SPierre	St. Pierre & Miquelon
Reunion	Reunion Island
SMartin	St. Martin
Glorioso	Glorioso Islands
JuanNova	Juan de Nova, Europa
Tromelin	Tromelin Island
Crozet	Crozet Island
Kergueln	Kerguelen Islands
AmstSP	Amsterdam & St. Paul Is.
WallisF	Wallis & Futuna Islands
FrGuiana	French Guiana
England	England
IOMan	Isle of Man
NIreland	Northern Ireland
Jersey	Jersey
Scotland	Scotland
Guernsey	Guernsey
Wales	Wales
Solomon	Solomon Islands
Temotu	Temotu Province
Hungary	Hungary
Switz	Switzerland
Lchten	Liechtenstein
Ecuador	Ecuador
Galapgs	Galapagos Islands
Haiti	Haiti
DomRep	Dominican Republic
Colombia	Colombia
SAndr&Prv	San Andres & Providencia
Malpelo	Malpelo Island
S.Korea	Republic of Korea
Panama	Panama
Honduras	Honduras
Thailnd	Thailand
Vatican	Vatican City
Saudi	Saudi Arabia
Italy	Italy
Sardinia	Sardinia
Djibouti	Djibouti
Grenada	Grenada
GuineaB	Guinea-Bissau
SLucia	St. Lucia
Dominica	Dominica
SVincent	St. Vincent
Japan	Japan
MinamiT	Minami Torishima
Ogaswra	Ogasawara
Mongolia	Mongolia
Svalbard	Svalbard
JanMayen	Jan Mayen
Jordan	Jordan
USA	United States
Gtmo	Guantanamo Bay
Marianas	Mariana Islands
Bakr&How	Baker & Howland Islands
Guam	Guam
Johnston	Johnston Island
Midway	Midway Island
PalmyraJ	Palmyra & Jarvis Islands
Hawaii	Hawaii
Kure	Kure Island
AmSam	American Samoa
Swains	Swains Island
Wake	Wake Island
Alaska	Alaska
Navassa	Navassa Island
USVI	US Virgin Islands
PuertoR	Puerto Rico
Desecheo	Desecheo Island
Norway	Norway
Argentina	Argentina
Luxembrg	Luxembourg
Lithuania	Lithuania
Bulgaria	Bulgaria
Peru	Peru
Lebanon	Lebanon
Austria	Austria
Finland	Finland
Aland	Aland Islands
MarketR	Market Reef
Czech	Czech Republic
Slovakia	Slovak Republic
Belgium	Belgium
Grnland	Greenland
Faroe	Faroe Islands
Denmark	Denmark
PapuaNG	Papua New Guinea
Aruba	Aruba
NKorea	DPR of Korea
Nethrld	Netherlands
Curacao	Curacao
Bonaire	Bonaire
Saba&Eus	Saba & St. Eustatius
SintMrt	Sint Maarten
Brazil	Brazil
Fernando	Fernando de Noronha
SPtr&Pl	St. Peter & St. Paul
Trdad&Mar	Trindade & Martim Vaz
Suriname	Suriname
FranzJL	Franz Josef Land
WSahara	Western Sahara
Bangladesh	Bangladesh
Slovnia	Slovenia
Seychls	Seychelles
SaoT&Pr	Sao Tome & Principe
Sweden	Sweden
Poland	Poland
Sudan	Sudan
Egypt	Egypt
Greece	Greece
Athos	Mount Athos
Dodec	Dodecanese
Crete	Crete
Tuvalu	Tuvalu
W.Kirib	Western Kiribati
C.Kirib	Central Kiribati
E.Kirib	Eastern Kiribati
Banaba	Banaba Island
Somalia	Somalia
SanMrno	San Marino
Palau	Palau
AsTurk	Asiatic Turkey
Iceland	Iceland
Guatemala	Guatemala
CostaR	Costa Rica
CocosIs	Cocos Island
Cameroon	Cameroon
Corsica	Corsica
CAfrR	Central African Republic
Congo	Republic of the Congo
Gabon	Gabon
Chad	Chad
CoteIv	Cote d'Ivoire
Benin	Benin
Mali	Mali
EuRus	European Russia
Kalingr	Kaliningrad
AsRussia	Asiatic Russia
Uzbekstn	Uzbekistan
Kazakstn	Kazakhstan
Ukraine	Ukraine
Antigua	Antigua & Barbuda
Belize	Belize
StKt&Nv	St. Kitts & Nevis
Namibia	Namibia
Micronesia	Micronesia
Marshall	Marshall Islands
Brunei	Brunei Darussalam
Canada	Canada
Australia	Australia
HeardIs	Heard Island
Macquarie	Macquarie Island
CocosK	Cocos (Keeling) Islands
LordHowe	Lord Howe Island
Mellish	Mellish Reef
Norfolk	Norfolk Island
Willis	Willis Island
Christmas	Christmas Island
Anguilla	Anguilla
Montserrat	Montserrat
BrVirIs	British Virgin Islands
Turks&Ca	Turks & Caicos Islands
Pitcairn	Pitcairn Island
Ducie	Ducie Island
Falklands	Falkland Islands
S.Georgia	South Georgia Island
S.Shetland	South Shetland Islands
S.Orkney	South Orkney Islands
S.Sandw	South Sandwich Islands
Bermuda	Bermuda
Chagos	Chagos Islands
HongKong	Hong Kong
India	India
Andm&Nic	Andaman & Nicobar Is.
Lakshdwp	Lakshadweep Islands
Mexico	Mexico
Revilla	Revillagigedo
Burkina	Burkina Faso
Cambodia	Cambodia
Laos	Laos
Macao	Macao
Myanmar	Myanmar
Afgnstn	Afghanistan
Indonesia	Indonesia
Iraq	Iraq
Vanuatu	Vanuatu
Syria	Syria
Latvia	Latvia
Nicaragua	Nicaragua
Romania	Romania
ElSalv	El Salvador
Serbia	Serbia
Venezuela	Venezuela
AvesIs	Aves Island
Zimbabwe	Zimbabwe
N.Maced	North Macedonia
Kosovo	Republic of Kosovo
S.Sudan	Republic of South Sudan
Albania	Albania
Gibraltar	Gibraltar
UKBaseCy	UK Base Areas on Cyprus
StHelena	St. Helena
Ascension	Ascension Island
Tristan	Tristan da Cunha & Gough
Cayman	Cayman Islands
Tokelau	Tokelau Islands
NZ	New Zealand
Chatham	Chatham Islands
Kermadec	Kermadec Islands
NZSubAnt	N.Z. Subantarctic Is.
Paraguay	Paraguay
S.Africa	South Africa
PrEd&Mar	Pr. Edward & Marion Is.
